proto,local,lport,remote,rport,state,pid,proc
TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,896,svchost.exe
TCPv6,::,49154,::,0,LISTENING,896,svchost.exe
TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,896,svchost.exe
TCPv4,0.0.0.0,3587,0.0.0.0,0,LISTENING,2632,svchost.exe
TCPv6,::,3587,::,0,LISTENING,2632,svchost.exe
TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,516,lsass.exe
TCPv4,0.0.0.0,2869,0.0.0.0,0,LISTENING,4,System
TCPv6,::,2869,::,0,LISTENING,4,System
UDPv4,0.0.0.0,3702,*,0,296,svchost.exe,2020-12-27
UDPv6,::,3702,*,0,296,svchost.exe,2020-12-27
UDPv4,127.0.0.1,62336,*,0,1408,svchost.exe,2020-12-27
UDPv6,::1,62334,*,0,1408,svchost.exe,2020-12-27
UDPv4,0.0.0.0,3702,*,0,1408,svchost.exe,2020-12-27
UDPv4,0.0.0.0,0,*,0,2632,svchost.exe,2020-12-27
UDPv6,::,0,*,0,2632,svchost.exe,2020-12-27
TCPv4,0.0.0.0,10243,0.0.0.0,0,LISTENING,4,System
TCPv6,::,10243,::,0,LISTENING,4,System
TCPv4,0.0.0.0,554,0.0.0.0,0,LISTENING,2368,wmpnetwk.exe
TCPv6,::1,2869,::1,49160,CLOSED,4,System
UDPv6,fe80::bda1:b28:fab2:a38c,546,*,0,812,svchost.exe,2020-12-27
UDPv4,0.0.0.0,3540,*,0,2632,svchost.exe,2020-12-27
UDPv6,::,3540,*,0,2632,svchost.exe,2020-12-27
TCPv6,-,0,387b:cc04:80fa:ffff:387b:cc04:80fa:ffff,0,CLOSED,4,System
UDPv6,::1,1900,*,0,1408,svchost.exe,2020-12-27
UDPv4,127.0.0.1,1900,*,0,1408,svchost.exe,2020-12-27
UDPv4,192.168.136.131,1900,*,0,1408,svchost.exe,2020-12-27
UDPv6,fe80::bda1:b28:fab2:a38c,62333,*,0,1408,svchost.exe,2020-12-27
UDPv6,fe80::bda1:b28:fab2:a38c,1900,*,0,1408,svchost.exe,2020-12-27
UDPv4,0.0.0.0,3702,*,0,1408,svchost.exe,2020-12-27
UDPv4,0.0.0.0,5004,*,0,2368,wmpnetwk.exe,2020-12-27
UDPv4,0.0.0.0,5005,*,0,2368,wmpnetwk.exe,2020-12-27
UDPv4,0.0.0.0,0,*,0,2632,svchost.exe,2020-12-27
UDPv6,::,0,*,0,2632,svchost.exe,2020-12-27
UDPv4,0.0.0.0,5355,*,0,940,svchost.exe,2020-12-27
UDPv6,::,5355,*,0,940,svchost.exe,2020-12-27
UDPv4,0.0.0.0,3702,*,0,1408,svchost.exe,2020-12-27
UDPv6,::,3702,*,0,1408,svchost.exe,2020-12-27
UDPv4,0.0.0.0,60960,*,0,296,svchost.exe,2020-12-27
UDPv6,::,60960,*,0,296,svchost.exe,2020-12-27
UDPv4,0.0.0.0,60959,*,0,296,svchost.exe,2020-12-27
UDPv4,0.0.0.0,54633,*,0,940,svchost.exe,2020-12-27
UDPv4,0.0.0.0,0,*,0,2632,svchost.exe,2020-12-27
UDPv6,::,0,*,0,2632,svchost.exe,2020-12-27
TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,508,services.exe
TCPv6,::,49155,::,0,LISTENING,508,services.exe
UDPv4,192.168.136.131,62335,*,0,1408,svchost.exe,2020-12-27
UDPv4,0.0.0.0,55377,*,0,1408,svchost.exe,2020-12-27
UDPv6,::,55377,*,0,1408,svchost.exe,2020-12-27
UDPv4,0.0.0.0,5004,*,0,2368,wmpnetwk.exe,2020-12-27
UDPv6,::,5004,*,0,2368,wmpnetwk.exe,2020-12-27
UDPv4,0.0.0.0,5005,*,0,2368,wmpnetwk.exe,2020-12-27
UDPv6,::,5005,*,0,2368,wmpnetwk.exe,2020-12-27
UDPv4,0.0.0.0,55376,*,0,1408,svchost.exe,2020-12-27
UDPv4,0.0.0.0,51351,*,0,940,svchost.exe,2020-12-27
UDPv6,::,51351,*,0,940,svchost.exe,2020-12-27
TCPv4,0.0.0.0,554,0.0.0.0,0,LISTENING,2368,wmpnetwk.exe
TCPv6,::,554,::,0,LISTENING,2368,wmpnetwk.exe
UDPv4,0.0.0.0,3702,*,0,296,svchost.exe,2020-12-27
UDPv6,::,3702,*,0,296,svchost.exe,2020-12-27
UDPv4,0.0.0.0,0,*,0,940,svchost.exe,2020-12-27
UDPv6,::,0,*,0,940,svchost.exe,2020-12-27
TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,508,services.exe
TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System
TCPv6,::,5357,::,0,LISTENING,4,System
TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System
TCPv6,::,445,::,0,LISTENING,4,System
UDPv4,0.0.0.0,3702,*,0,296,svchost.exe,2020-12-27
TCPv4,-,0,56.123.204.4,0,CLOSED,296,svchost.exe
TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,700,svchost.exe
TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,700,svchost.exe
TCPv6,::,135,::,0,LISTENING,700,svchost.exe
TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,400,wininit.exe
TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,400,wininit.exe
TCPv6,::,49152,::,0,LISTENING,400,wininit.exe
UDPv4,0.0.0.0,3702,*,0,1408,svchost.exe,2020-12-27
UDPv6,::,3702,*,0,1408,svchost.exe,2020-12-27
TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,812,svchost.exe
TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,812,svchost.exe
TCPv6,::,49153,::,0,LISTENING,812,svchost.exe
UDPv4,0.0.0.0,3702,*,0,296,svchost.exe,2020-12-27
TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,516,lsass.exe
TCPv6,::,49156,::,0,LISTENING,516,lsass.exe
UDPv4,192.168.136.131,137,*,0,4,System,2020-12-27
TCPv6,::1,49160,::1,2869,CLOSED,2368,wmpnetwk.exe
TCPv6,-,0,f836:4b02:80fa:ffff:f836:4b02:80fa:ffff,0,CLOSED,4,System
TCPv4,192.168.136.131,139,0.0.0.0,0,LISTENING,4,System
UDPv4,192.168.136.131,138,*,0,4,System,2020-12-27
UDPv4,0.0.0.0,5355,*,0,940,svchost.exe,2020-12-27
UDPv6,::,5355,*,0,940,svchost.exe,2020-12-27
UDPv4,0.0.0.0,5355,*,0,940,svchost.exe,2020-12-27
UDPv4,0.0.0.0,64325,*,0,296,svchost.exe,2020-12-27
UDPv4,0.0.0.0,64326,*,0,296,svchost.exe,2020-12-27
UDPv6,::,64326,*,0,296,svchost.exe,2020-12-27
UDPv4,0.0.0.0,49338,*,0,940,svchost.exe,2020-12-27
UDPv6,::,49338,*,0,940,svchost.exe,2020-12-27
UDPv4,0.0.0.0,5355,*,0,940,svchost.exe,2020-12-27
